100 m;F;Egyesült Államok;Justin Gatlin;9,92;SB;1
200 m;F;Törökország;Ramil Guliyev;20,09;SB;1
400 m;F;Dél-afrikai Köztársaság;Wayde van Niekerk;43,98;;1
800 m;F;Franciaország;Pierre-Ambroise Bosse;01:44,7;SB;1
1500 m;F;Kenya;Elijah Manangoi;03:33,6;;1
5000 m;F;Etiópia;Muktar Edris;13:32,8;;1
10 000 m;F;Nagy-Britannia;Mo Farah;26:49,5;;1
110 m gát;F;Jamaica;Omar McLeod;12:00,0;;1
400 m gát;F;Norvégia;Karsten Warholm;24:00,0;;1
3000 m akadály;F;Kenya;Conseslus Kipruto;08:14,1;;1
20 km gyaloglás;F;Kolumbia;Éider Arévalo;1:18:53;NR;1
50 km gyaloglás;F;Franciaország;Yohann Diniz;3:33:12;CR;1
maraton;F;Kenya;Geoffrey Kipkorir Kirui;08:26,0;;1
magasugrás;F;Katar;Mutaz Essa Barshim;235 cm;;1
távolugrás;F;Dél-afrikai Köztársaság;Luvo Manyonga;8,48 m;;1
hármasugrás;F;Egyesült Államok;Christian Taylor;17,68 m;;1
rúdugrás;F;Egyesült Államok;Sam Kendricks;595 cm;;1
diszkoszvetés;F;Litvánia;Andrius Gudžius;69,21;PB;1
gerelyhajítás;F;Németország;Johannes Vetter;89,89 m;;1
súlylökés;F;Új-Zéland;Tomas Walsh;43:12,0;;1
kalapácsvetés;F;Lengyelország;Pawe³ Fajdek;79,81 m;;1
tízpróba;F;Franciaország;Kévin Mayer;8768;WL;1
100 m;F;Egyesült Államok;Christian Coleman;9,94;;2
200 m;F;Dél-afrikai Köztársaság;Wayde van Niekerk;20,11;;2
400 m;F;Bahama-szigetek;Steven Gardiner;44,41;;2
800 m;F;Lengyelország;Adam Kszczot;01:45,0;SB;2
1500 m;F;Kenya;Timothy Cheruiyot;03:34,0;;2
5000 m;F;Nagy-Britannia;Mo Farah;13:33,2;;2
10 000 m;F;Uganda;Joshua Kiprui Cheptegei;26:49,9;;2
110 m gát;F;ANA;Szergej Subenkov;13,14;;2
400 m gát;F;Törökország;Yasmani Copello;48,49;;2
3000 m akadály;F;Marokkó;Soufiane El Bakkali;08:14,5;;2
20 km gyaloglás;F;ANA;Sergey Shirobokov;1:18:55;;2
50 km gyaloglás;F;Japán;Arai Hirooki;3:41:17;SB;2
maraton;F;Etiópia;Tamirat Tola;2:09:48;;2
magasugrás;F;ANA;Danil Lysenko;232 cm;;2
távolugrás;F;Egyesült Államok;Jarrion Lawson;8,44 m;;2
hármasugrás;F;Egyesült Államok;Will Claye;17,63 m;;2
rúdugrás;F;Lengyelország;Piotr Lisek;589 cm;;2
